Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Algeria,DZA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,6.3394457452426
Algeria,DZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Algeria,DZA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,17.8390633
Algeria,DZA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Algeria,DZA,Gini index (World Bank estimate),SI.POV.GINI,..
Algeria,DZA,Consumer price index (2010 = 100),FP.CPI.TOTL,151.361667767746
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,18.0762954494212
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,648000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11715.3601388487
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.147
American Samoa,ASM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
American Samoa,ASM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
American Samoa,ASM,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
American Samoa,ASM,Gini index (World Bank estimate),SI.POV.GINI,..
American Samoa,ASM,Consumer price index (2010 = 100),FP.CPI.TOTL,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,276.56
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,7
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2744.19433594
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3155065487.51819
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40897.3308728669
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.15060997009277
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.71158504
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.984
Andorra,AND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
Andorra,AND,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Andorra,AND,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,100.0000037
Andorra,AND,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Andorra,AND,Gini index (World Bank estimate),SI.POV.GINI,..
Andorra,AND,Consumer price index (2010 = 100),FP.CPI.TOTL,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,164.140425531915
Andorra,AND,"Population, total",SP.POP.TOTL,77146
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,40.232
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,71.32600403
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,89417190341.2533
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2809.62608839129
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.82117998600006
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.53335953
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.177
Angola,AGO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,25.2777986469192
Angola,AGO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Angola,AGO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Angola,AGO,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Angola,AGO,Gini index (World Bank estimate),SI.POV.GINI,..
Angola,AGO,Consumer price index (2010 = 100),FP.CPI.TOTL,378.883721459389
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,25.527632148873
Angola,AGO,"Population, total",SP.POP.TOTL,31825299
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.107
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,760.26495361
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1687533333.33333
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17376.6496765004
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.82214999198914
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.44295979
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.506
Antigua and Barbuda,ATG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
Antigua and Barbuda,ATG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Antigua and Barbuda,ATG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Antigua and Barbuda,ATG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Antigua and Barbuda,ATG,Gini index (World Bank estimate),SI.POV.GINI,..
Antigua and Barbuda,ATG,Consumer price index (2010 = 100),FP.CPI.TOTL,115.436612610656
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,220.715909090909
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97115
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.833
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,945.99194336
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,451932356085.842
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10056.637940265
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.80237007141113
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.5100708
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.991
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,42.9040289361208
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Argentina,ARG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Argentina,ARG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,42.9
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.4208266190179
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.646
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,523.99908447
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13619291361.2814
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4604.64632355695
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.56185007095337
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.33526421
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.219
Armenia,ARM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,36.6268635925954
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Armenia,ARM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,67.76279579
Armenia,ARM,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Armenia,ARM,Gini index (World Bank estimate),SI.POV.GINI,29.9
Armenia,ARM,Consumer price index (2010 = 100),FP.CPI.TOTL,129.176007326748
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.889286968739
Armenia,ARM,"Population, total",SP.POP.TOTL,2957728
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.756
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.546
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
Aruba,ABW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Aruba,ABW,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Aruba,ABW,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Aruba,ABW,Gini index (World Bank estimate),SI.POV.GINI,..
Aruba,ABW,Consumer price index (2010 = 100),FP.CPI.TOTL,109.534355432857
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,590.611111111111
Aruba,ABW,"Population, total",SP.POP.TOTL,106310
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.1
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5427.46240234
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1391952510370.48
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54875.2859563351
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.91078568
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.124
Australia,AUS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,60.8958617221769
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Australia,AUS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,73.29258189
Australia,AUS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Australia,AUS,Gini index (World Bank estimate),SI.POV.GINI,..
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,119.797086368366
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.29767018286484
Australia,AUS,"Population, total",SP.POP.TOTL,25365745
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.6
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5242.18310547
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,445011872704.47
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50114.4011099728
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.43403149
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.515
Austria,AUT,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.5693159397832
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Austria,AUT,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.64076649
Austria,AUT,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Austria,AUT,Gini index (World Bank estimate),SI.POV.GINI,..
Austria,AUT,Consumer price index (2010 = 100),FP.CPI.TOTL,118.057980056249
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.609306834707
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.1
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,193.10884094
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,48174235294.1176
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.75371765917
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.68108010292053
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.03829002
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.031
Azerbaijan,AZE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.0753461369756
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Azerbaijan,AZE,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,21.03918997
Azerbaijan,AZE,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Azerbaijan,AZE,Gini index (World Bank estimate),SI.POV.GINI,..
Azerbaijan,AZE,Consumer price index (2010 = 100),FP.CPI.TOTL,156.891564325
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.7959823608398
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,121.280071139933
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.882
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2004.61633301
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,13164400000
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,33799.4176940891
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.39893007278442
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.74977493
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.132
"Bahamas, The",BHS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
"Bahamas, The",BHS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
"Bahamas, The",BHS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
"Bahamas, The",BHS,Gini index (World Bank estimate),SI.POV.GINI,..
"Bahamas, The",BHS,Consumer price index (2010 = 100),FP.CPI.TOTL,116.218911182281
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,38.9096903096903
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389486
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.622
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,940.39569092
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,38652579787.234
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23551.9300857404
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.01147509
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.394
Bahrain,BHR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Bahrain,BHR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,91.23381816
Bahrain,BHR,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Bahrain,BHR,Gini index (World Bank estimate),SI.POV.GINI,..
Bahrain,BHR,Consumer price index (2010 = 100),FP.CPI.TOTL,118.772111860491
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,2104.05641025641
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641164
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.868
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,45.85716248
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,302571320445.75
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1855.74009422319
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.32632005214691
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.48357606
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.405
Bangladesh,BGD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,15.454631369974
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Bangladesh,BGD,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,37.68488358
Bangladesh,BGD,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Bangladesh,BGD,Gini index (World Bank estimate),SI.POV.GINI,..
Bangladesh,BGD,Consumer price index (2010 = 100),FP.CPI.TOTL,179.679821747048
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,74.6844635009766
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1252.56336329415
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046173
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.621
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1143.32202148
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5209000000
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18148.4978451054
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.20398998260498
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.29990387
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.158
Barbados,BRB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Barbados,BRB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Barbados,BRB,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Barbados,BRB,Gini index (World Bank estimate),SI.POV.GINI,..
Barbados,BRB,Consumer price index (2010 = 100),FP.CPI.TOTL,134.091174070188
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,667.490697674419
Barbados,BRB,"Population, total",SP.POP.TOTL,287021
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.3
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,399.39709473
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,64409647193.8044
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.71782606351
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.97947978973389
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.86133957
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.044
Belarus,BLR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.4090107198083
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Belarus,BLR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,74.12021631
Belarus,BLR,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Belarus,BLR,Gini index (World Bank estimate),SI.POV.GINI,25.3
Belarus,BLR,Consumer price index (2010 = 100),FP.CPI.TOTL,508.339294380209
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.8740005493164
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.4073209183171
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.1
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4960.39355469
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,535288715239.999
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46591.4916067396
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.65604973
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.041
Belgium,BEL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,27.0049647575329
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..
Belgium,BEL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,87.93986502
Belgium,BEL,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..
Belgium,BEL,Gini index (World Bank estimate),SI.POV.GINI,..
Belgium,BEL,Consumer price index (2010 = 100),FP.CPI.TOTL,117.110457187971
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,379.424702774108
